Datum,Tijd,Product,ISIN,Beurs,Uitvoeringsplaats,Aantal,Koers,,Lokale waarde,,Waarde,,Wisselkoers,Transactiekosten,,Totaal,,Order ID
06-03-2020,09:05,ISHARES MSCI WOR A,IE00B4L5Y983,EAM,XAMS,10,51.7700,EUR,-517.70,EUR,-517.70,EUR,,,,-517.70,EUR,68a29334-5be8-4d22-9033-34685e255dfd
28-02-2020,09:10,ISHARES MSCI WOR A,IE00B4L5Y983,EAM,XAMS,15,52.0000,EUR,-780.00,EUR,-780.00,EUR,,,,-780.00,EUR,01f3f442-1ab8-4dca-9503-ec1d9b405bfd
28-02-2020,09:10,ISHARES MSCI WOR A,IE00B4L5Y983,EAM,XAMS,5,52.0000,EUR,-260.00,EUR,-260.00,EUR,,,,-260.00,EUR,01f3f442-1ab8-4dca-9503-ec1d9b405bfd
25-02-2020,09:05,ISHARES MSCI WOR A,IE00B4L5Y983,EAM,XAMS,18,57.8600,EUR,-1041.48,EUR,-1041.48,EUR,,,,-1041.48,EUR,f4d64296-9982-4bcb-b813-b9489830207b
07-02-2020,09:05,ISHARES MSCI WOR A,IE00B4L5Y983,EAM,XAMS,9,59.0000,EUR,-531.00,EUR,-531.00,EUR,,,,-531.00,EUR,cc19aa98-b522-42ae-bdc4-93ef5e004769
30-01-2020,14:30,ISHARES EMIM,IE00BKM4GZ66,EAM,XAMS,20,26.1930,EUR,-523.86,EUR,-523.86,EUR,,-2.20,EUR,-526.06,EUR,96902cfd-b90e-4e2b-90c1-b1893169cb23
28-01-2020,09:05,ISHARES MSCI WOR A,IE00B4L5Y983,EAM,XAMS,18,57.4900,EUR,-1034.82,EUR,-1034.82,EUR,,,,-1034.82,EUR,2a92b76a-a35d-423e-b88d-b381cfe3f5ea
03-01-2020,09:05,ISHARES MSCI WOR A,IE00B4L5Y983,EAM,XAMS,9,56.5950,EUR,-509.36,EUR,-509.36,EUR,,,,-509.36,EUR,5f8f169c-69b5-4a1b-a20a-0c420696cb06
12-12-2019,09:46,ISHARES E INF-LINK,IE00B0M62X26,EAM,XAMS,1,219.9100,EUR,-219.91,EUR,-219.91,EUR,,,,-219.91,EUR,2bd82a34-23dd-4ebb-8a83-ea0f6c57d326
03-12-2019,10:43,ISHARES MSCI WOR A,IE00B4L5Y983,EAM,XAMS,5,55.0000,EUR,-275.00,EUR,-275.00,EUR,,,,-275.00,EUR,ff68407a-7e30-495b-bec1-db7476772e90
03-12-2019,09:00,TAKEAWAY,NL0012015705,EAM,XAMS,-10,82.4000,EUR,824.00,EUR,824.00,EUR,,-2.31,EUR,821.69,EUR,4bf79ca9-8ecb-464e-978b-97285bbb0240
20-11-2019,09:09,ISHARES MSCI WOR A,IE00B4L5Y983,EAM,XAMS,5,55.0000,EUR,-275.00,EUR,-275.00,EUR,,,,-275.00,EUR,1a8871a1-6ac5-4a33-a49c-180862fa5ba4
03-10-2019,16:08,ISHARES MSCI WOR A,IE00B4L5Y983,EAM,XAMS,10,51.0000,EUR,-510.00,EUR,-510.00,EUR,,,,-510.00,EUR,5a84cf98-066c-4a01-ac3c-d906a23d1e1e
30-09-2019,09:05,ISHARES MSCI WOR A,IE00B4L5Y983,EAM,XAMS,5,53.1600,EUR,-265.80,EUR,-265.80,EUR,,,,-265.80,EUR,c7aa10ac-8dfb-4969-bbe7-7f875503e347
17-09-2019,09:08,TAKEAWAY,NL0012015705,EAM,XAMS,10,73.3000,EUR,-733.00,EUR,-733.00,EUR,,-2.28,EUR,-735.28,EUR,c6bb02ef-1654-413c-8449-a318f63a5361
13-08-2019,11:28,ISHARES MSCI WOR A,IE00B4L5Y983,EAM,XAMS,10,50.0000,EUR,-500.00,EUR,-500.00,EUR,,,,-500.00,EUR,e09584c8-c3d8-48b3-8c44-1ea1762dc0de
